foldName	fileName
Fold_1	100_Consult-HistoryandPhy.-Consult-Hydronephrosis_10.txt
Fold_1	103_Consult-HistoryandPhy.-Consult-JawPain_9.txt
Fold_1	105_Consult-HistoryandPhy.-Consult-LaparoscopicCholecystectomy_5.txt
Fold_1	106_Consult-HistoryandPhy.-Consult-Migraine_6.txt
Fold_1	128_Consult-HistoryandPhy.-CVAConsult-ERVisit_9.txt
Fold_1	149_Consult-HistoryandPhy.-Dizziness-Recurrent_7.txt
Fold_1	156_Consult-HistoryandPhy.-ElbowPain-Consult_7.txt
Fold_1	161_Consult-HistoryandPhy.-EndStageRenalDisease-Consult_7.txt
Fold_1	166_Consult-HistoryandPhy.-ERReport-RibCagePain_8.txt
Fold_1	168_Consult-HistoryandPhy.-EssentialTremor&Torticollis_9.txt
Fold_1	171_Consult-HistoryandPhy.-Feet&HandCramping_8.txt
Fold_1	185_Consult-HistoryandPhy.-GastrointestinalBleed-ERVisit_10.txt
Fold_1	187_Consult-HistoryandPhy.-GenMedConsult-10_7.txt
Fold_1	193_Consult-HistoryandPhy.-GenMedConsult-16_6.txt
Fold_1	1_Consult-HistoryandPhy.-A5-month-oldboywithcough_8.txt
Fold_1	205_Consult-HistoryandPhy.-GenMedConsult-27_7.txt
Fold_1	217_Consult-HistoryandPhy.-GenMedConsult-38_7.txt
Fold_1	225_Consult-HistoryandPhy.-GenMedConsult-45_7.txt
Fold_1	229_Consult-HistoryandPhy.-GenMedConsult-49_5.txt
Fold_1	231_Consult-HistoryandPhy.-GenMedConsult-50_10.txt
Fold_1	235_Consult-HistoryandPhy.-GenMedConsult-54_9.txt
Fold_1	23_Consult-HistoryandPhy.-AntibioticTherapyConsult_6.txt
Fold_1	240_Consult-HistoryandPhy.-GenMedH&P-1_10.txt
Fold_1	246_Consult-HistoryandPhy.-GlioblastomaMultiforme-Consult_6.txt
Fold_1	252_Consult-HistoryandPhy.-H&P-Cardio(Angina)_7.txt
Fold_1	255_Consult-HistoryandPhy.-H&P-Infantwithfever_10.txt
Fold_1	268_Consult-HistoryandPhy.-HPVConsult_7.txt
Fold_1	270_Consult-HistoryandPhy.-Huntington'sDisease-Consult_11.txt
Fold_1	271_Consult-HistoryandPhy.-Hyperesthesia_4.txt
Fold_1	276_Consult-HistoryandPhy.-HyperthyroidismFollowingPregnancy_5.txt
Fold_1	282_Consult-HistoryandPhy.-InsectSting_5.txt
Fold_1	292_Consult-HistoryandPhy.-LaparoscopicGastricBypassConsult-1_6.txt
Fold_1	294_Consult-HistoryandPhy.-LeakingNephrostomyTube_9.txt
Fold_1	321_Consult-HistoryandPhy.-MigrainewithoutAura-Consult_4.txt
Fold_1	326_Consult-HistoryandPhy.-Neck&BackPain_12.txt
Fold_1	327_Consult-HistoryandPhy.-Neck&LowerBackPain-Consult_8.txt
Fold_1	339_Consult-HistoryandPhy.-NeurologicConsultation-2_8.txt
Fold_1	342_Consult-HistoryandPhy.-NeurologicConsultation-5_5.txt
Fold_1	349_Consult-HistoryandPhy.-NeuropsychologicalEvaluation-5_9.txt
Fold_1	350_Consult-HistoryandPhy.-NewOnsetSeizure_8.txt
Fold_1	394_Consult-HistoryandPhy.-Onychomycosis-H&P_8.txt
Fold_1	395_Consult-HistoryandPhy.-OrganicBrainSyndrome_9.txt
Fold_1	420_Consult-HistoryandPhy.-ProstateAdenocarcinoma_8.txt
Fold_1	427_Consult-HistoryandPhy.-PsychConsult-AssaultiveBehavior_12.txt
Fold_1	432_Consult-HistoryandPhy.-PsychConsult-Lethargy_11.txt
Fold_1	437_Consult-HistoryandPhy.-PsychConsult-Schizophrenia_3.txt
Fold_1	43_Consult-HistoryandPhy.-BloodInToilet_7.txt
Fold_1	445_Consult-HistoryandPhy.-PulmonaryConsultation-1_10.txt
Fold_1	450_Consult-HistoryandPhy.-RecordsReview-Epicondylitis_9.txt
Fold_1	461_Consult-HistoryandPhy.-RheumatoidArthritis-Consult_7.txt
