The	0
patient	0
is	0
married	0
and	0
is	0
a	0
nonsmoker	0
and	0
lives	0
with	0
her	0
husband	0
who	0
is	0
here	0
with	0
her	0
He	0
smokes	0
1	Amount
pack	Amount
a	0
day	0
of	0
Newport	0
for	0
30	0
years	0
and	0
is	0
a	0
social	Amount
drinker	0
He	0
denies	0
any	0
illicit	0
drug	0
use	0
The	0
patient	0
smokes	0
one	Amount
pack	Amount
of	Amount
cigarettes	Amount
per	0
day	0
and	0
takes	0
drinks	0
on	0
social	0
occasions	0
Denies	0
tobacco	0
alcohol	0
or	0
illicit	0
drugs	0
The	0
patient	0
is	0
a	0
nonsmoker	0
Denies	0
any	0
alcohol	0
or	0
illicit	0
drug	0
use	0
She	0
is	0
a	0
smoker	0
about	0
a	Amount
pack	Amount
and	Amount
a	Amount
half	Amount
for	0
38	0
years	0
and	0
notes	0
rare	0
alcohol	0
use	0
The	0
patient	0
has	0
been	0
sober	0
for	0
five	0
years	0
The	0
patient	0
experimented	0
with	0
amphetamines	0
cocaine	0
marijuana	0
approximately	0
16	0
years	0
ago	0
Patient	0
states	0
smoking	0
history	0
of	0
1	Amount
pack	Amount
per	0
day	0
Admits	0
to	0
no	0
history	0
of	0
using	0
alcohol	0
States	0
use	0
of	0
no	0
illicit	0
drugs	0
She	0
does	0
not	0
smoke	0
or	0
drink	0
She	0
rarely	0
drinks	0
socially	Amount
She	0
denies	0
any	0
illicit	0
substance	0
usage	0
Of	0
note	0
she	0
does	0
not	0
drink	0
or	0
smoke	0
Denies	0
tobacco	0
and	0
alcohol	0
use	0
She	0
endorses	0
marijuana	0
use	0
and	0
a	0
history	0
of	0
cocaine	0
use	0
five	0
years	0
ago	0
The	0
patient	0
does	0
not	0
smoke	0
She	0
consumes	0
alcohol	0
moderately	Amount
She	0
denies	0
tobacco	0
alcohol	0
and	0
illicit	0
drug	0
use	0
PERSONAL	0
Nonsmoker	0
Does	0
not	0
consume	0
alcohol	0
No	0
history	0
of	0
recreational	0
drug	0
use	0
He	0
smokes	0
less	Amount
than	Amount
a	Amount
pack	Amount
of	Amount
cigarettes	Amount
daily	0
He	0
denies	0
alcohol	0
or	0
illicit	0
drug	0
use	0
She	0
has	0
a	0
history	0
of	0
smoking	0
one	0
pack	0
per	0
day	0
for	0
18	0
years	0
According	0
to	0
the	0
chart	0
the	0
patient	0
also	0
drinks	0
wine	0
everyday	0
for	0
the	0
last	0
50	0
years	0
usually	0
one	Amount
to	Amount
two	Amount
drinks	Amount
per	Amount
day	Amount
HABITS	0
No	0
smoking	0
or	0
drinking	0
PERSONAL	0
Married	0
active	0
smoker	0
does	0
not	0
consume	0
alcohol	0
No	0
history	0
of	0
recreational	0
drug	0
use	0
AND	0
ALCOHOL	0
The	0
patient	0
smoked	0
one	0
to	0
two	0
packs	0
per	0
day	0
for	0
most	0
of	0
the	0
last	0
year	0
but	0
has	0
increased	0
this	0
to	0
two	Amount
to	Amount
three	Amount
packs	Amount
per	0
day	0
in	0
the	0
last	0
month	0
His	0
partner	0
reports	0
that	0
the	0
patient	0
consumed	0
alcohol	0
occasionally	0
but	0
denies	Amount
any	Amount
excessive	Amount
or	Amount
binge	Amount
use	Amount
recently	Amount
The	0
patient	0
reports	0
smoking	0
marijuana	0
a	0
few	0
times	0
in	0
his	0
life	0
but	0
not	0
recently	0
Denies	0
other	0
illicit	0
substance	0
use	0
No	0
smoking	0
or	0
alcohol	0
She	0
does	0
not	0
smoke	0
cigarettes	0
She	0
uses	0
alcohol	0
No	0
use	0
of	0
illicit	0
drugs	0
