No	Status
smoking	0
or	0
significant	0
alcohol	0
intake	0
SOCIAL	0
HISTORY	0
The	0
patient	0
denies	Status
tobacco	0
alcohol	0
or	0
drug	0
use	0
SOCIAL	0
HISTORY	0
The	0
patient	0
apparently	0
has	0
a	0
history	Status
of	Status
methamphetamine	0
use	0
and	0
cocaine	0
use	0
approximately	0
1	0
year	0
ago	0
He	0
also	0
has	0
a	0
history	Status
of	Status
marijuana	0
used	0
approximately	0
1	0
year	0
ago	0
He	0
smokes	Status
1	0
pack	0
a	0
day	0
of	0
Newport	0
for	0
30	0
years	0
and	0
is	0
a	0
social	0
drinker	Status
He	0
denies	Status
any	0
illicit	0
drug	0
use	0
No	Status
tobacco	0
alcohol	0
or	0
IV	0
drug	0
abuse	0
He	0
does	Status
not	Status
smoke	0
occasionally	0
drinks	0
alcohol	0
SOCIAL	0
HISTORY	0
There	0
were	Status
possible	Status
illicit	0
drugs	0
SOCIAL	0
HISTORY	0
Significant	0
history	Status
of	Status
alcohol	0
abuse	0
according	0
to	0
the	0
emergency	0
room	0
physician	0
who	0
sees	0
her	0
on	0
a	0
regular	0
basis	0
SOCIAL	0
HISTORY	0
Remarkable	0
for	0
being	0
married	0
retired	0
quit	0
smoking	0
in	0
1997	0
rare	0
use	Status
of	0
alcohol	0
lives	0
locally	0
with	0
his	0
wife	0
There	0
is	0
no	Status
history	Status
of	Status
tobacco	0
use	0
or	0
alcohol	0
use	0
SOCIAL	0
HISTORY	0
He	0
is	0
a	0
non-cigarette	Status
smoker	0
and	0
non-ETOH	Status
user	0
SOCIAL	0
HISTORY	0
He	0
is	Status
a	0
smoker	0
He	0
takes	Status
rare	0
alcohol	0
Does	Status
not	Status
smoke	0
or	0
drink	0
Smoking	0
history	0
Smoked	Status
1	0
PPD	0
quit	0
12	0
years	0
ago	0
and	0
after	0
smoking	0
for	0
30	0
years	0
Alcohol	0
history	0
Drinks	Status
socially	0
Denies	Status
any	Status
history	Status
of	0
drug	0
abuse	0
PERSONAL	0
HISTORY	0
She	0
is	0
a	0
nonsmoker	Status
Does	Status
not	Status
consume	0
alcohol	0
No	Status
history	Status
of	Status
recreational	0
drug	0
use	0
SOCIAL	0
HISTORY	0
Does	Status
not	Status
smoke	0
but	0
drinks	Status
occasionally	0
for	0
the	0
last	0
five	0
years	0
She	0
does	Status
not	Status
smoke	0
drink	0
or	0
use	0
intravenous	0
drugs	0
SOCIAL	0
HISTORY	0
She	0
is	0
a	0
nonsmoker	Status
She	0
occasionally	0
has	Status
a	0
drink	0
every	0
few	0
weeks	0
SUBSTANCE	0
ABUSE	0
HISTORY	0
Mr	0
T	0
stated	0
he	Status
used	Status
alcohol	0
following	0
his	0
divorce	0
in	0
1993	0
but	0
has	0
not	0
used	0
it	0
for	0
the	0
last	0
two	0
years	0
No	Status
other	Status
substance	0
abuse	0
was	0
noted	0
SOCIAL	0
HISTORY	0
The	0
patient	0
stopped	0
smoking	0
27	0
years	0
ago	0
he	0
smoked	0
approximately	0
two	0
packs	0
a	0
day	0
with	0
combined	0
cigarettes	0
and	0
cigars	0
He	Status
has	Status
not	Status
smoked	Status
for	Status
the	Status
past	Status
27	Status
years	Status
He	0
hardly	0
ever	0
uses	Status
alcohol	0
SOCIAL	0
HISTORY	0
The	0
patient	0
denies	Status
smoking	0
and	0
drinking	0
DRUG	0
HISTORY	0
He	Status
stopped	Status
using	Status
drugs	Status
when	Status
he	Status
was	Status
25	Status
He	0
has	0
got	0
a	0
lapse	0
but	0
he	0
was	0
more	0
than	0
10	0
years	0
and	0
he	0
has	0
been	0
clean	0
ever	0
since	0
then	0
As	0
mentioned	0
before	0
he	0
smokes	0
cigarettes	0
quite	0
heavily	0
and	0
which	0
has	0
been	0
a	0
problem	0
for	0
his	0
health	0
since	0
he	0
also	0
has	0
chronic	0
bronchitis	0
She	0
does	Status
not	Status
report	Status
any	0
significant	0
alcohol	0
or	0
illicit	0
drug	0
use	0
She	0
is	0
a	0
lifetime	0
nonsmoker	Status
social	0
alcohol	0
drinker	Status
Abuse	0
of	0
drugs	0
or	0
alcohol	0
were	0
denied	Status
She	0
does	Status
not	Status
smoke	0
She	0
drinks	Status
socially	0
She	0
is	0
a	0
nonsmoker	Status
and	0
no	Status
history	Status
of	0
drug	0
or	0
alcohol	0
abuse	0
She	0
does	Status
drink	Status
two	0
to	0
three	0
drinks	0
daily	0
SOCIAL	0
HISTORY	0
